Station ID, Station Name, First Year,  Last Year,  Year Range,  % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr), MSL Trends (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
620-046,"Pusan, South Korea",1960,2009,50,98,1.97,0.38,0.64,0.12,35.1000,129.0333
620-051,"Ulsan, South Korea",1962,2009,48,97,1.29,0.65,0.42,0.21,35.5167,129.3833
620-061,"Mugho, South Korea",1965,2009,45,97,0.80,0.49,0.26,0.16,37.5500,129.1167
625-011,"Wonsan, North Korea",1962,1992,31,100,1.28,0.83,0.42,0.27,39.1667,127.4500
630-001,"Yuzhno Kurilsk, Russia",1948,1994,47,95,2.74,0.62,0.90,0.20,44.0167,145.8667
630-021,"Petropavlovsk-Kamchatsky, Russia",1957,2010,54,99,2.35,0.54,0.77,0.18,52.9833,158.6500
641-003,"Abashiri, Japan",1965,2011,47,96,1.35,0.50,0.44,0.17,44.0167,144.2833
641-021,"Kushiro, Japan",1947,2011,65,97,9.39,0.30,3.08,0.10,42.9667,144.3833
641-031,"Hakodate I, Japan",1961,2011,51,99,-0.39,0.38,-0.13,0.13,41.7833,140.7333
641-061,"Wakkanai, Japan",1975,2011,37,99,3.67,0.55,1.20,0.18,45.4000,141.6833
642-061,"Mera, Japan",1931,2011,81,96,3.78,0.20,1.24,0.06,34.9167,139.8333
642-091,"Aburatsubo, Japan",1930,2011,82,97,3.63,0.21,1.19,0.07,35.1500,139.6167
642-141,"Kushimoto, Japan",1957,2011,55,98,3.45,0.56,1.13,0.19,33.4667,135.7833
645-011,"Hosojima, Japan",1930,2011,82,98,-0.43,0.29,-0.14,0.10,32.4333,131.6667
645-021,"Aburatsu, Japan",1960,2011,52,100,1.89,0.47,0.62,0.15,31.5667,131.4167
645-064,"Nagasaki, Japan",1965,2011,47,99,2.20,0.42,0.72,0.14,32.7333,129.8667
646-024,"Naha, Japan",1966,2011,46,99,2.18,0.72,0.71,0.24,26.2167,127.6667
647-068,"Toyama, Japan",1975,2011,37,98,3.73,0.60,1.22,0.20,36.7667,137.2167
647-071,"Wajima, Japan",1930,2011,82,98,-0.20,0.23,-0.07,0.07,37.4000,136.9000
648-001,"Chichijima, Japan",1975,2011,37,99,4.50,1.18,1.48,0.39,27.0833,142.1833
660-011,"Manila, Philippines",1969,2002,34,0,13.16,1.17,4.32,0.38,14.5833,120.9667
660-021,"Legaspi, Philippines",1947,2009,63,97,5.38,0.72,1.77,0.24,13.1500,123.7500
660-121,"Davao, Philippines",1948,2008,61,79,5.32,1.30,1.74,0.43,7.0833,125.6333
660-141,"Jolo, Philippines",1947,1996,50,85,0.19,1.12,0.06,0.37,6.0667,121.0000
670-021,"Rabaul, Papua New Guinea",1966,1997,32,83,-2.59,4.92,-0.85,1.61,-4.2000,152.1833
680-021,"Weipa, Australia",1966,2010,45,75,3.48,1.54,1.14,0.50,-12.6667,141.8667
680-051,"Townsville, Australia",1959,2010,52,100,1.48,0.42,0.49,0.14,-19.2500,146.8333
680-073,"Bundaberg, Australia",1966,2010,45,98,0.58,0.51,0.19,0.17,-24.7667,152.3833
680-078,"Brisbane, Australia",1966,2010,45,86,0.09,0.68,0.03,0.22,-27.3667,153.1667
680-140,"Sydney, Fort Denison 1 & 2, Australia",1886,2010,125,85,0.65,0.10,0.21,0.03,-33.8547,151.2258
680-471,"Fremantle, Australia",1897,2010,114,100,1.54,0.24,0.51,0.08,-32.0660,115.7480
680-479,"Carnarvon, Australia",1965,2010,46,81,2.89,1.61,0.95,0.53,-24.8987,113.6510
680-494,"Port Hedland, Australia",1966,2010,45,91,2.18,1.71,0.72,0.56,-20.3176,118.5744
690-002,"Auckland II, New Zealand",1903,2000,98,96,1.29,0.20,0.42,0.07,-36.8500,174.7667
690-011,"Wellington, New Zealand",1944,2011,68,94,2.45,0.29,0.80,0.09,-41.2833,174.7833
690-022,"Lyttelton II, New Zealand",1924,2000,77,89,2.36,0.29,0.77,0.09,-44.4000,171.2667
690-041,"Bluff/Southland Harbour, New Zealand",1917,2011,95,26,1.57,0.24,0.51,0.08,-46.6000,168.3500
710-011,"Yap B, Federated States of Micronesia",1969,2005,37,90,-0.41,3.50,-0.14,1.15,9.5167,138.1333
710-026,"Kapingamarangi, Federated States Of Micronesia",1978,2008,31,91,2.53,2.63,0.83,0.86,1.1000,154.7833
710-032,"Pohnpei B & C, Federated States of Micronesia",1974,2011,38,96,3.87,2.72,1.27,0.89,6.9833,158.2333
711-021,"Malakal B, Palau",1969,2009,41,94,1.73,3.05,0.57,1.00,7.3333,134.4667
720-017,"Majuro B/C, Marshall Islands",1968,2011,44,97,3.60,1.22,1.18,0.40,7.1060,171.3728
732-012,"Funafuti & Funafuti B, Tuvalu",1977,2011,35,85,3.74,2.95,1.23,0.97,-8.5025,179.1952
734-004,"Honiara-B & Honiara II , Solomon Islands",1974,2011,38,85,2.80,4.39,0.92,1.44,-9.4289,159.9554
742-012,"Suva A, Fiji",1972,2011,40,91,6.30,1.51,2.07,0.50,-18.1357,178.4228
750-012,"Kanton Island & Kanton Island B, Kiribati",1949,2007,59,84,0.58,0.87,0.19,0.29,-2.8167,-171.7167
775-001,"Penrhyn, Cook Islands",1977,2010,34,85,2.40,1.84,0.79,0.60,-9.0167,-158.0667
780-011,"Papeete-B, Fare Ute Point, French Polynesia",1975,2009,35,85,2.51,0.94,0.82,0.31,-17.5333,-149.5667
785-006,"Rarotonga & Rarotonga B, Cook Islands",1977,2011,35,85,1.51,1.31,0.49,0.43,-21.2048,-159.7848
808-001,"Rikitea, French Polynesia",1969,2003,35,87,1.72,0.97,0.56,0.32,-23.1333,-134.9500
810-003,"Easter Island E, Chile",1970,2010,41,79,0.33,1.26,0.11,0.41,-27.1500,-109.4500
